,Unnamed: 0,class,tweet
0,0,2,"['woman', 'complain', 'cleaning', 'man', 'always', 'take', 'trash']"
1,1,1,"['boy', 'bad', 'cuffin', 'hoe']"
2,2,1,"['ever', 'bitch', 'start', 'confused']"
3,3,1,"['look', 'like']"
4,4,1,"['hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']"
5,5,1,"['faithful', 'somebody', 'still']"
6,6,1,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'going']"
7,7,1,"['cause', 'tired', 'big', 'coming', 'us', 'skinny']"
8,8,1,"['might', 'get', 'ya', 'bitch', 'back', 'thats']"
9,9,1,['fighting']
10,10,1,"['bitch', 'everyone', 'conversation', 'like']"
11,11,1,"['gang', 'bitch', 'gang', 'land']"
12,12,1,"['smoke', 'yea', 'go']"
13,13,1,"['bad', 'thing', 'like']"
14,14,1,"['bitch', 'get']"
15,15,1,"['bitch', 'miss']"
16,16,1,"['bitch', 'whatever']"
17,17,1,"['bitch', 'love']"
18,18,1,"['get', 'cut', 'everyday', 'b']"
19,19,1,"['black', 'bottle', 'bad', 'bitch']"
20,20,1,"['broke', 'bitch', 'cant', 'tell', 'nothing']"
21,21,1,"['cancel', 'bitch', 'like']"
22,22,1,"['cant', 'see', 'wont', 'change']"
23,23,1,"['bitch', 'dont', 'even', 'suck', 'dick', 'bout']"
24,24,1,"['got', 'ya', 'bitch', 'tip', 'hardwood']"
25,25,1,"['pussy', 'like', 'heaven']"
26,26,1,['hoe']
27,27,1,"['met', 'pussy', 'ocean', 'gave', 'pussy', 'pill']"
28,28,1,"['need', 'bitch']"
29,29,1,"['spend', 'money', 'want', 'bitch', 'business']"
30,30,1,"['old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']"
31,31,1,"['say', 'back', 'old', 'old', 'would', 'get', 'excited']"
32,32,1,"['aint', 'bout', 'murder', 'game', 'pussy', 'shut']"
33,33,1,"['done', 'pussy']"
34,34,1,"['done', 'bitter', 'wrap', 'angry', 'bird', 'theres']"
35,35,1,"['ya', 'bitch']"
36,36,1,"['aint', 'nothing', 'cut', 'bitch']"
37,37,1,"['meet', 'son', 'ya', 'mane', 'ass']"
38,38,1,"['crying', 'thats', 'clown']"
39,39,1,"['like', 'snoop', 'said', 'dont', 'love']"
40,40,2,"['said', 'pussy', 'inside', 'doghouse']"
41,41,1,['favorite']
42,42,1,"['nice', 'make', 'get', 'bad', 'real', 'nice', 'south', 'like', 'em', 'real']"
43,43,1,"['future', 'voice']"
44,44,1,"['post', 'picture', 'pussy', 'get']"
45,45,1,"['pussy', 'powerful', 'drug']"
46,46,1,"['quick', 'piece', 'pussy', 'call', 'drive']"
47,47,1,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get']"
48,48,1,"['even', 'worst', 'send']"
49,49,1,"['like', 'spend', 'money', 'talk', 'bout']"
50,50,1,"['dont', 'trust']"
51,51,1,"['b', 'cause', 'aint', 'never']"
52,52,1,"['dodge', 'bullet', 'da', 'cut', 'pregnant', 'bound', 'god']"
53,53,1,"['young', 'pill', 'chamberlain', 'love', 'music']"
54,54,1,"['trump', 'probably', 'cleaner', 'twitter']"
55,55,1,"['gay', 'wait', 'act', 'like']"
